X,Y,Name,description,altitudeMode,X_ADDR,ADDRESSPOSTALCODE,ADDRESSTYPE,DESCRIPTION2,HYPERLINK,ADDRESSBUILDINGNAME,FMEL_UPD_D,ADDRESSFLOORNUMBER,ADDRESSSTREETNAME,LANDYADDRESSPOINT,INC_CRC,SHAPE,Y_ADDR,NAME2,ADDRESSUNITNUMBER,LANDXADDRESSPOINT,Field_1,ADDRESSBLOCKHOUSENUMBER,PHOTOURL,Type
103.852244,1.283562976,The (Alkaff) Arcade,The Arcade or the Alkaff Arcade was built in 1909 by the Alkaff family.,clampToGround,30106.24,,,,"<a target=""_blank"" href=""http://infopedia.nl.sg/articles/SIP_1067_2006-06-15.html"">http://infopedia.nl.sg/articles/SIP_1067_2006-06-15.html</a>",,4/17/2013 12:25:55 PM,,,29555.4,1C812C9CD6D32955,Point,29555.4,,,30106.24,The (Alkaff) Arcade,,,historic building
103.851871,1.293722975,Stamford Road,Part of this road stretch was once called Hospital Street because a convict hospital and lunatic asylum was situated here.,clampToGround,30064.7199,,,,"<a target=""_blank"" href=""http://infopedia.nl.sg/articles/SIP_865_2005-01-24.html"">http://infopedia.nl.sg/articles/SIP_865_2005-01-24.html</a>",,4/17/2013 12:25:55 PM,,,30678.84,A169ABA8E89880F9,Point,30678.8399,,,30064.72,Stamford Road,,,historic building
103.853721,1.304415989,Abdul Gafoor Mosque,Abdul Gaffoor Mosque is located at 41 Dunlop Street in the Little India conservation district.,clampToGround,30270.5999,,,,"<a target=""_blank"" href=""http://infopedia.nl.sg/articles/SIP_292_2004-12-23.html"">http://infopedia.nl.sg/articles/SIP_292_2004-12-23.html</a>",,4/17/2013 12:25:55 PM,,,31861.22,E576E3B1CCA6F884,Point,31861.22,,,30270.6,Abdul Gafoor Mosque,,,mosque
103.8148739,1.478211988,Strait of Johore,"In 1775, Selat Tebrau is mentioned in A. de Mannevillette's 'Neptune Oriental' Map 49.",clampToGround,25947.4299,,,,"<a target=""_blank"" href=""http://infopedia.nl.sg/articles/SIP_787_2005-01-24.html"">http://infopedia.nl.sg/articles/SIP_787_2005-01-24.html</a>",,4/17/2013 12:25:55 PM,,,51078.7,07F4B2C519E93FF7,Point,51078.6999,,,25947.43,Strait of Johore,,,bridge
103.859071,1.302178993,Sultan's Mosque,"The Sultan Mosque is located at 3 Muscat Street, where it is the focal point of the historic Kampong Glam area.",clampToGround,30866.0099,,,,"<a target=""_blank"" href=""http://infopedia.nl.sg/articles/SIP_753_2005-01-03.html"">http://infopedia.nl.sg/articles/SIP_753_2005-01-03.html</a>",,4/17/2013 12:25:55 PM,,,31613.87,2B0538AE12C4A871,Point,31613.8699,,,30866.01,Sultan's Mosque,,,mosque
103.8515579,1.282069784,Asia Insurance Building,"Asia Insurance Building, also known as the A. I. Building, is located at 2 Finlayson Green. It was opened on 10 December 1955 with 18 floors at a height of  87 m.",clampToGround,30029.8899,,,,"<a target=""_blank"" href=""http://infopedia.nl.sg/articles/SIP_592_2005-01-17.html"">http://infopedia.nl.sg/articles/SIP_592_2005-01-17.html</a>",,4/17/2013 3:53:48 PM,,,29390.29,5A6E3F4DA279A799,Point,29390.2899,,,30029.89,Asia Insurance Building,,,building
103.8664539,1.364303948,Chomp-Chomp Hawkers,"In the 1960s, the stalls at Chomp Chomp were originally located at where bus-stop and carpark now stands, opposite the present hawker centre.",clampToGround,31687.57,,,,"<a target=""_blank"" href=""http://infopedia.nl.sg/articles/SIP_873_2004-12-17.html"">http://infopedia.nl.sg/articles/SIP_873_2004-12-17.html</a>",,4/17/2013 12:25:55 PM,,,38483.34,A51DF3F113FDBE86,Point,38483.3399,,,31687.57,Chomp-Chomp Hawkers,,,food
103.8500659,1.285145992,Chulia Street,"It used to be called Kling Street, which was regarded as derogatory leading to the street being renamed Chulia Street, after the Chulias who migrated to Singapore from Southern India.¿",clampToGround,29863.8399,,,,"<a target=""_blank"" href=""http://infopedia.nl.sg/articles/SIP_222_2005-01-18.html"">http://infopedia.nl.sg/articles/SIP_222_2005-01-18.html</a>",,4/17/2013 12:25:55 PM,,,29730.44,8EAAE463B9C0AAD3,Point,29730.4399,,,29863.84,Chulia Street,,,shopping
103.853074,1.286146921,Fullerton Hotel,"The Fullerton Hotel, situated at Fullerton Square, was originally a public institution known as the Fullerton Building.",clampToGround,30198.61,,,,"<a target=""_blank"" href=""http://infopedia.nl.sg/articles/SIP_527_2004-12-13.html"">http://infopedia.nl.sg/articles/SIP_527_2004-12-13.html</a>",,4/17/2013 12:25:55 PM,,,29841.12,5C4FC7206A73B61C,Point,29841.1199,,,30198.61,Fullerton Hotel,,,hotel
103.8967449,1.31681193,Geylang Serai,Geylang Serai is one of the oldest Malay Settlements in Singapore.,clampToGround,35058.74,,,,"<a target=""_blank"" href=""http://infopedia.nl.sg/articles/SIP_747_2004-12-09.html"">http://infopedia.nl.sg/articles/SIP_747_2004-12-09.html</a>",,4/17/2013 12:25:55 PM,,,33231.98,DC811FC409769585,Point,33231.98,,,35058.74,Geylang Serai,,,food
103.8388229,1.317570955,Gilstead Road,"Gilstead Road, which connects Dunearn Road and Buckley Road, is lined with old residential units, some dating back to the 1920s.",clampToGround,28612.58,,,,"<a target=""_blank"" href=""http://infopedia.nl.sg/articles/SIP_711_2005-01-25.html"">http://infopedia.nl.sg/articles/SIP_711_2005-01-25.html</a>",,4/17/2013 12:25:55 PM,,,33315.82,94C13312AC0EE3E3,Point,33315.82,,,28612.58,Gilstead Road,,,district
103.8442189,1.277063985,Tras Street,Tras Street runs between Enggor Street and Cook Street.,clampToGround,29213.12,,,,"<a target=""_blank"" href=""http://infopedia.nl.sg/articles/SIP_308_2004-12-16.html"">http://infopedia.nl.sg/articles/SIP_308_2004-12-16.html</a>",,4/17/2013 12:25:55 PM,,,28836.77,5D6F91B30222D270,Point,28836.7699,,,29213.12,Tras Street,,,shopping
103.987729,1.389335973,Changi,Changi is an estate that is located at the easternmost end of Singapore.,clampToGround,45183.8899,,,,"<a target=""_blank"" href=""http://infopedia.nl.sg/articles/SIP_245_2004-12-15.html"">http://infopedia.nl.sg/articles/SIP_245_2004-12-15.html</a>",,4/17/2013 12:25:55 PM,,,41251.79,FA4E5AF33CEA00C7,Point,41251.7899,,,45183.89,Changi,,,district
103.973254,1.36228598,Changi Murals Chapel,"Changi Murals Chapel, otherwise known as St Luke's Chapel, was a source of comfort and focal point of social activities for Allied prisoners-of-war in Changi during the Second World War.",clampToGround,43573.1799,,,,"<a target=""_blank"" href=""http://infopedia.nl.sg/articles/SIP_918_2004-12-15.html"">http://infopedia.nl.sg/articles/SIP_918_2004-12-15.html</a>",,4/17/2013 12:25:55 PM,,,38260.63,EC3136E816BCA438,Point,38260.63,,,43573.18,Changi Murals Chapel,,,museum
104.0151579,1.316803989,First US aircraft carrier at Changi Naval Base,"The first US aircraft carrier to visit Singapore's newest naval base, was the American vessel USS Kitty Hawk",clampToGround,48236.99,,,,"<a target=""_blank"" href=""http://infopedia.nl.sg/articles/SIP_522_2004-12-29.html"">http://infopedia.nl.sg/articles/SIP_522_2004-12-29.html</a>",,4/17/2013 12:25:55 PM,,,33231.75,4BA7C4F3A6655F15,Point,33231.75,,,48236.99,First US aircraft carrier at Changi Naval Base,,,naval base
103.893962,1.372347996,Cheng San Public Library,"Cheng San Public Library is located at 90 Hougang Ave 10, #03-11, NTUC Hougang Mall, Singapore 538766.",clampToGround,34748.87,,,,"<a target=""_blank"" href=""http://infopedia.nl.sg/articles/SIP_252_2005-01-24.html"">http://infopedia.nl.sg/articles/SIP_252_2005-01-24.html</a>",,4/17/2013 12:25:55 PM,,,39372.87,C300FCEAD6EADF82,Point,39372.8699,,,34748.87,Cheng San Public Library,,,library
103.84268,1.297323935,Chesed El Synagogue,"Chesed-El Synagogue, located at Oxley Rise, is one of the two synagogues that are currently in use in Singapore.",clampToGround,29041.8399,,,,"<a target=""_blank"" href=""http://infopedia.nl.sg/articles/SIP_841_2004-12-17.html"">http://infopedia.nl.sg/articles/SIP_841_2004-12-17.html</a>",,4/17/2013 12:25:55 PM,,,31077.01,D7ABFB3B84E5A294,Point,31077.0099,,,29041.84,Chesed El Synagogue,,,synagogue
103.8485459,1.296611991,The Singapore Library (1844-1874),The Singapore Library grew out of the Singapore Institution Library and was established on 22 January 1845 as a library for the residents of Singapore.,clampToGround,29694.6699,,,,"<a target=""_blank"" href=""http://infopedia.nl.sg/articles/SIP_653_2005-02-03.html"">http://infopedia.nl.sg/articles/SIP_653_2005-02-03.html</a>",,4/17/2013 12:25:55 PM,,,30998.29,3F6312DACD971342,Point,30998.2899,,,29694.67,The Singapore Library (1844-1874),,,library
103.7867839,1.435041972,Woodlands Regional Library,The Woodlands Regional Library (WRL) was officially opened on 28 April 2001.,clampToGround,22821.4,,,,"<a target=""_blank"" href=""http://infopedia.nl.sg/articles/SIP_674_2005-01-24.html"">http://infopedia.nl.sg/articles/SIP_674_2005-01-24.html</a>",,4/17/2013 12:25:55 PM,,,46305.22,D62B53062D19D19C,Point,46305.22,,,22821.4,Woodlands Regional Library,,,library
103.8151313,1.30478978,St. George's Church,"St George's Church is an Anglican church located at Minden Road, off Holland Road, on the grounds of what were once the Tanglin Barracks.",clampToGround,25975.9199,,,,"<a target=""_blank"" href=""http://infopedia.nl.sg/articles/SIP_754_2004-12-23.html"">http://infopedia.nl.sg/articles/SIP_754_2004-12-23.html</a>",,4/17/2013 12:25:55 PM,,,31902.55,DA149FF012AB11D7,Point,31902.55,,,25975.92,St. George's Church,,,church
103.8447722,1.28377844,Mosque Street,"Mosque Street, a one-way street in Chinatown, connects New Bridge Road to South Bridge Road.",clampToGround,29274.69,,,,"<a target=""_blank"" href=""http://infopedia.nl.sg/articles/SIP_304_2005-01-11.html"">http://infopedia.nl.sg/articles/SIP_304_2005-01-11.html</a>",,4/17/2013 3:53:48 PM,,,29579.22,66DA5055BCDF94E6,Point,29579.22,,,29274.69,Mosque Street,,,mosque
103.8244215,1.336462398,Bukit Brown Muncipal Cemetery,"The Bukit Brown Municipal Cemetery, located between Lornie Road and Mount Pleasant Road, was officially opened on 1 January 1922.",clampToGround,27009.8499,,,,"<a target=""_blank"" href=""http://infopedia.nl.sg/articles/SIP_1358_2009-07-13.html"">http://infopedia.nl.sg/articles/SIP_1358_2009-07-13.html</a>",,4/17/2013 3:53:48 PM,,,35404.74,8C2EBC37CB9ACC45,Point,35404.74,,,27009.85,Bukit Brown Muncipal Cemetery,,,cemetery
103.8485715,1.282152824,Cross Street,Cross Street is a one-way street beginning from Raffles Quay.,clampToGround,29697.5199,,,,"<a target=""_blank"" href=""http://infopedia.nl.sg/articles/SIP_346_2005-01-26.html"">http://infopedia.nl.sg/articles/SIP_346_2005-01-26.html</a>",,4/17/2013 3:53:48 PM,,,29399.47,55F452A08EFEA9DF,Point,29399.47,,,29697.52,Cross Street,,,shopping
